Count,Name,Foil,Card Number,Edition,Language
1,March of Wretched Sorrow,,111,Kamigawa: Neon Dynasty,English
1,Hullbreaker Horror,,63,Innistrad: Crimson Vow,English
2,Thirst for Discovery,,85,Innistrad: Crimson Vow,English
2,Hero's Downfall,,120,Innistrad: Crimson Vow,English
2,Parasitic Grasp,,123,Innistrad: Crimson Vow,English
4,Memory Deluge,,62,Innistrad: Midnight Hunt,English
3,Graveyard Trespasser // Graveyard Glutton,,104,Innistrad: Midnight Hunt,English
1,Infernal Grasp,,107,Innistrad: Midnight Hunt,English
2,Field of Ruin,,262,Innistrad: Midnight Hunt,English
4,Shipwreck Marsh,,267,Innistrad: Midnight Hunt,English
2,"Iymrith, Desert Doom",,62,Adventures in the Forgotten Realms,English
3,Power Word Kill,,114,Adventures in the Forgotten Realms,English
1,Evolving Wilds,,256,Adventures in the Forgotten Realms,English
2,Hall of Storm Giants,,257,Adventures in the Forgotten Realms,English
1,Evolving Wilds,,353,Adventures in the Forgotten Realms,English
2,Baleful Mastery,,64,Strixhaven: School of Mages,English
3,Saw It Coming,,76,Kaldheim,English
3,Blood on the Snow,,79,Kaldheim,English
3,Crippling Fear,,82,Kaldheim,English
4,Ice Tunnel,,262,Kaldheim,English
5,Snow-Covered Island,,278,Kaldheim,English
7,Snow-Covered Swamp,,280,Kaldheim,English
2,Jwari Disruption // Jwari Ruins,,64,Zendikar Rising,English

2,Mischievous Catgeist // Catlike Curiosity,,69,Innistrad: Crimson Vow,English
2,Bloodvial Purveyor,,98,Innistrad: Crimson Vow,English
2,Duress,,98,Innistrad: Midnight Hunt,English
2,Siphon Insight,,241,Innistrad: Midnight Hunt,English
2,Ray of Enfeeblement,,116,Adventures in the Forgotten Realms,English
1,Saw It Coming,,76,Kaldheim,English
2,Negate,,71,Zendikar Rising,English
2,Bloodchief's Thirst,,94,Zendikar Rising,English

4,Blood // Blood,,17,Extras: Challenger Decks 2022,English
1,Day // Night,,19,Extras: Innistrad: Midnight Hunt,English
2,Double-Faced Card Placeholder,,,Extras: Innistrad: Crimson Vow,English
3,Double-Faced Card Placeholder,,80,Extras: Innistrad: Midnight Hunt,English
2,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders,English
