Count,Name,Foil,Card Number,Edition,Language
1,"Lathril, Blade of the Elves",foil,1,Kaldheim Commander,English
1,Pact of the Serpent,,9,Kaldheim Commander,English
1,Ruthless Winnower,,10,Kaldheim Commander,English
1,Serpent's Soul-Jar,,11,Kaldheim Commander,English
1,Bounty of Skemfar,,12,Kaldheim Commander,English
1,Crown of Skemfar,,13,Kaldheim Commander,English
1,Wolverine Riders,,14,Kaldheim Commander,English
1,Elderfang Venom,,15,Kaldheim Commander,English
1,Ambition's Cost,,47,Kaldheim Commander,English
1,Eyeblight Cullers,,48,Kaldheim Commander,English
1,Eyeblight Massacre,,49,Kaldheim Commander,English
1,Lys Alana Scarblade,,50,Kaldheim Commander,English
1,"Miara, Thorn of the Glade",,51,Kaldheim Commander,English
1,Pride of the Perfect,,52,Kaldheim Commander,English
1,Prowess of the Fair,,53,Kaldheim Commander,English
1,Beast Whisperer,,54,Kaldheim Commander,English
1,Cultivator of Blades,,55,Kaldheim Commander,English
1,"Dwynen, Gilt-Leaf Daen",,56,Kaldheim Commander,English
1,Elvish Archdruid,,57,Kaldheim Commander,English
1,Elvish Mystic,,58,Kaldheim Commander,English
1,Elvish Promenade,,59,Kaldheim Commander,English
1,Elvish Rejuvenator,,60,Kaldheim Commander,English
1,End-Raze Forerunners,,61,Kaldheim Commander,English
1,Farhaven Elf,,62,Kaldheim Commander,English
1,Harvest Season,,63,Kaldheim Commander,English
1,Imperious Perfect,,64,Kaldheim Commander,English
1,Jagged-Scar Archers,,65,Kaldheim Commander,English
1,Llanowar Tribe,,66,Kaldheim Commander,English
1,Lys Alana Huntmaster,,67,Kaldheim Commander,English
1,"Marwyn, the Nurturer",,68,Kaldheim Commander,English
1,Masked Admirers,,69,Kaldheim Commander,English
1,Nullmage Shepherd,,70,Kaldheim Commander,English
1,"Numa, Joraga Chieftain",,71,Kaldheim Commander,English
1,Reclamation Sage,,72,Kaldheim Commander,English
1,Rhys the Exiled,,73,Kaldheim Commander,English
1,Springbloom Druid,,74,Kaldheim Commander,English
1,Sylvan Messenger,,75,Kaldheim Commander,English
1,Timberwatch Elf,,76,Kaldheim Commander,English
1,Voice of Many,,77,Kaldheim Commander,English
1,Voice of the Woods,,78,Kaldheim Commander,English
1,Wirewood Channeler,,79,Kaldheim Commander,English
1,Wood Elves,,80,Kaldheim Commander,English
1,Abomination of Llanowar,,81,Kaldheim Commander,English
1,Casualties of War,,83,Kaldheim Commander,English
1,Golgari Findbroker,,86,Kaldheim Commander,English
1,Moldervine Reclamation,,89,Kaldheim Commander,English
1,Poison-Tip Archer,,90,Kaldheim Commander,English
1,Putrefy,,91,Kaldheim Commander,English
1,Shaman of the Pack,,92,Kaldheim Commander,English
1,Twinblade Assassins,,95,Kaldheim Commander,English
1,Arcane Signet,,96,Kaldheim Commander,English
1,Sol Ring,,104,Kaldheim Commander,English
1,Command Tower,,108,Kaldheim Commander,English
1,Foul Orchard,,110,Kaldheim Commander,English
1,Golgari Guildgate,,111,Kaldheim Commander,English
1,Golgari Rot Farm,,112,Kaldheim Commander,English
1,Jungle Hollow,,113,Kaldheim Commander,English
1,Myriad Landscape,,115,Kaldheim Commander,English
1,Path of Ancestry,,117,Kaldheim Commander,English
1,Poison the Cup,,103,Kaldheim,English
1,Return Upon the Tide,,106,Kaldheim,English
1,Skemfar Shadowsage,,110,Kaldheim,English
1,Tergrid's Shadow,,113,Kaldheim,English
1,Jaspera Sentinel,,178,Kaldheim,English
1,Roots of Wisdom,,190,Kaldheim,English
1,Binding the Old Gods,,206,Kaldheim,English
1,"Harald, King of Skemfar",,212,Kaldheim,English
1,Skemfar Elderhall,,268,Kaldheim,English
1,Canopy Tactician,,378,Kaldheim,English
1,Elderfang Ritualist,,385,Kaldheim,English
1,Elven Ambush,,391,Kaldheim,English
13,Swamp,,396,Kaldheim,English
16,Forest,,398,Kaldheim,English
6,Elemental // Elf Warrior,,6,Extras: Kaldheim Commander,English
4,Servo // Elf Warrior,,7,Extras: Kaldheim Commander,English
